04/11/17 21:00,AS Monaco,6 - 0,EA Guingamp,1.42,4.66,6.99,
04/11/17 21:00,ESTAC Troyes,3 - 0,RC Strasbourg,2.75,3.26,2.56,
04/11/17 21:00,FC Nantes,2 - 1,Toulouse FC,1.96,3.06,4.43,
05/11/17 16:00,OGC Nice,1 - 0,Dijon FCO,1.9,3.47,4.01,
05/11/17 18:00,Olympique Marseille,5 - 0,SM Caen,1.54,4.02,6.13,
05/11/17 18:00,FC Metz,0 - 3,Lille OSC,3,3.2,2.4,
05/11/17 22:00,AS St. Etienne,0 - 5,Olympique Lyon,3.47,3.38,2.09,
17/11/17 20:00,Lille OSC,3 - 1,AS St. Etienne,2.17,3.14,3.54,
17/11/17 21:45,Amiens AC,1 - 1,AS Monaco,5.63,3.91,1.59,
18/11/17 18:00,Paris St. Germain,4 - 1,FC Nantes,1.11,9.21,19.35,
18/11/17 21:00,Dijon FCO,3 - 1,ESTAC Troyes,1.81,3.5,4.57,
18/11/17 21:00,EA Guingamp,1 - 1,Angers SCO,2.25,3.29,3.21,
18/11/17 21:00,Toulouse FC,0 - 0,FC Metz,1.8,3.41,4.77,
18/11/17 21:00,RC Strasbourg,2 - 1,Stade Rennes,2.15,3.19,3.55,
19/11/17 16:00,SM Caen,1 - 1,OGC Nice,2.56,3.07,2.88,
19/11/17 18:00,Olympique Lyon,0 - 0,Montpellier HSC,1.52,4.12,6.21,
19/11/17 22:00,Girondins Bordeaux,1 - 1,Olympique Marseille,2.22,3.34,3.18,
24/11/17 21:45,AS St. Etienne,2 - 2,RC Strasbourg,1.93,3.42,4.01,
25/11/17 18:00,Stade Rennes,2 - 1,FC Nantes,2.6,2.87,3.03,
25/11/17 21:00,Dijon FCO,3 - 1,Toulouse FC,2.2,3.14,3.46,
25/11/17 21:00,ESTAC Troyes,3 - 0,Angers SCO,3.25,3.21,2.25,
25/11/17 21:00,FC Metz,0 - 2,Amiens AC,2.75,3,2.74,
25/11/17 21:00,Montpellier HSC,3 - 0,Lille OSC,1.95,3.15,4.36,
